"filename", "language", "CMake", "Shell Script", "C++", "Markdown", "Python", "YAML", "Objective-C++", "XML", "Properties", "Groovy", "Batch", "C", "JSON", "HTML", "Makefile", "Java", "JavaScript", "comment", "blank", "total"
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/BUILD_INSTRUCTIONS.md", "Markdown", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 68
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/CLAUDE.md", "Markdown", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 134
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/CMakeLists.txt", "CMake", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 113
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/JUCE/.github/ISSUE_TEMPLATE/bug_report.yml", "YAML", 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 99
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/JUCE/.github/ISSUE_TEMPLATE/config.yml", "YAML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/JUCE/.github/contributing.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 35
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/JUCE/.github/pull_request_template.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/JUCE/.github/workflows/check-cla.yml", "YAML", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/JUCE/.gitlab-ci.yml", "YAML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/JUCE/BREAKING_CHANGES.md", "Markdown", 0, 0, 0, 2531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1482, 4013
