"filename", "language", "C++", "comment", "blank", "total"
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/Source/Common/BuildVersion.h", "C++", 3, 2, 2, 7
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/Source/Common/Constants.h", "C++", 20, 6, 9, 35
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/Source/Common/PluginParameters.cpp", "C++", 402, 20, 114, 536
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/Source/Common/PluginParameters.h", "C++", 143, 32, 33, 208
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/Source/DSP/TerminalCircuit.cpp", "C++", 221, 19, 69, 309
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/Source/DSP/TerminalCircuit.h", "C++", 73, 7, 19, 99
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/Source/DSP/TerminalCircuitDiagnostics.h", "C++", 60, 7, 16, 83
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/Source/DSP/TerminalCircuitTests.cpp", "C++", 171, 17, 58, 246
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/Source/GUI/FrontPanelComponent.cpp", "C++", 73, 14, 19, 106
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/Source/GUI/FrontPanelComponent.h", "C++", 29, 19, 11, 59
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/Source/GUI/PhysicsPanelComponent.cpp", "C++", 134, 28, 41, 203
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/Source/GUI/PhysicsPanelComponent.h", "C++", 49, 12, 14, 75
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/Source/PluginEditor.cpp", "C++", 52, 13, 19, 84
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/Source/PluginEditor.h", "C++", 22, 15, 11, 48
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/Source/PluginProcessor.cpp", "C++", 254, 21, 53, 328
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/Source/PluginProcessor.h", "C++", 45, 26, 19, 90
"Total", "-", 1751, 258, 507, 2516
